duration,pdays,emp.var.rate,euribor3m,nr.employed,y
63.0,999.0,-0.1,4.076,5195.8,0
372.0,999.0,1.4,4.961,5228.1,0
140.0,999.0,-0.1,4.12,5195.8,0
150.0,999.0,1.4,4.966,5228.1,0
768.0,999.0,1.1,4.856,5191.0,0
240.0,999.0,1.4,4.96,5228.1,0
255.0,3.0,-1.1,0.882,4963.6,1
142.0,999.0,1.4,4.963,5228.1,0
217.0,999.0,1.4,4.962,5228.1,0
369.0,999.0,1.4,4.962,5228.1,0
178.0,999.0,-1.8,1.299,5099.1,0
100.0,999.0,-1.8,1.291,5099.1,0
1147.0,999.0,1.1,4.857,5191.0,0
436.0,999.0,1.4,4.964,5228.1,0
68.0,999.0,1.4,4.959,5228.1,0
372.0,999.0,-2.9,1.26,5076.2,1
97.0,999.0,1.1,4.858,5191.0,0
4.0,999.0,-1.7,0.888,4991.6,0
147.0,999.0,1.4,4.959,5228.1,0
249.0,999.0,1.1,4.856,5191.0,0
257.0,999.0,1.1,4.86,5191.0,0
289.0,999.0,-0.1,4.12,5195.8,0
445.0,999.0,-1.8,1.479,5099.1,0
168.0,999.0,1.4,4.966,5228.1,0
552.0,999.0,-0.1,4.021,5195.8,0
106.0,999.0,-1.8,1.266,5099.1,0
67.0,999.0,-0.1,4.076,5195.8,0
216.0,999.0,-0.1,4.021,5195.8,0
348.0,999.0,1.1,4.86,5191.0,0
486.0,999.0,-0.1,4.076,5195.8,0
418.0,999.0,1.1,4.856,5191.0,0
67.0,999.0,-0.1,4.021,5195.8,0
40.0,999.0,1.4,4.959,5228.1,0
205.0,999.0,-1.8,1.405,5099.1,1
224.0,999.0,1.4,4.965,5228.1,0
442.0,999.0,1.4,4.961,5228.1,1
91.0,999.0,-1.8,1.264,5099.1,0
206.0,999.0,-0.1,4.021,5195.8,0
216.0,999.0,1.4,4.961,5228.1,0
177.0,999.0,1.4,4.957,5228.1,0
56.0,3.0,-3.4,0.716,5017.5,0
274.0,999.0,1.4,4.961,5228.1,0
160.0,999.0,1.1,4.864,5191.0,0
149.0,999.0,1.1,4.864,5191.0,0
195.0,999.0,-1.8,1.327,5099.1,0
289.0,999.0,1.4,4.961,5228.1,0
176.0,999.0,1.1,4.855,5191.0,0
892.0,999.0,-1.8,1.327,5099.1,0
22.0,999.0,-1.8,1.291,5099.1,0
113.0,2.0,-3.4,0.742,5017.5,0
399.0,999.0,1.1,4.857,5191.0,0
170.0,999.0,-1.8,1.299,5099.1,0
87.0,999.0,-2.9,0.879,5076.2,0
42.0,999.0,1.4,4.963,5228.1,0
342.0,999.0,-1.8,1.531,5099.1,1
401.0,999.0,-1.8,1.405,5099.1,0
67.0,999.0,-0.1,4.153,5195.8,0
448.0,999.0,1.4,4.963,5228.1,0
220.0,999.0,1.1,4.857,5191.0,0
489.0,999.0,1.1,4.856,5191.0,0
231.0,999.0,1.1,4.857,5191.0,0
187.0,999.0,1.4,4.963,5228.1,0
41.0,999.0,1.4,4.866,5228.1,0
1663.0,999.0,1.4,4.959,5228.1,1
267.0,999.0,1.4,4.968,5228.1,0
241.0,999.0,1.4,4.959,5228.1,0
151.0,999.0,1.1,4.858,5191.0,0
19.0,999.0,1.4,4.965,5228.1,0
156.0,999.0,-1.8,1.405,5099.1,1
344.0,999.0,1.1,4.857,5191.0,0
16.0,999.0,-1.8,1.405,5099.1,0
361.0,999.0,1.4,4.864,5228.1,0
83.0,999.0,1.4,4.962,5228.1,0
140.0,999.0,1.4,4.962,5228.1,0
394.0,13.0,-1.1,1.049,4963.6,1
131.0,8.0,-3.4,0.739,5017.5,0
156.0,999.0,-1.8,0.636,5008.7,0
168.0,999.0,1.4,4.963,5228.1,0
212.0,999.0,1.4,4.959,5228.1,0
158.0,999.0,-2.9,0.851,5076.2,1
491.0,999.0,-1.8,1.327,5099.1,0
103.0,999.0,-1.8,1.299,5099.1,0
189.0,999.0,1.1,4.858,5191.0,0
180.0,999.0,-2.9,1.266,5076.2,0
183.0,999.0,-0.1,4.021,5195.8,0
289.0,3.0,-1.8,0.683,5008.7,1
237.0,999.0,1.1,4.857,5191.0,0
671.0,999.0,1.4,4.963,5228.1,1
417.0,999.0,1.4,4.962,5228.1,0
253.0,999.0,1.1,4.86,5191.0,0
705.0,999.0,-3.0,0.718,5023.5,1
261.0,999.0,1.4,4.963,5228.1,0
98.0,999.0,-1.8,1.405,5099.1,0
290.0,999.0,1.1,4.857,5191.0,0
103.0,999.0,1.4,4.963,5228.1,0
182.0,6.0,-1.7,0.9,4991.6,1
235.0,999.0,1.4,4.966,5228.1,0
39.0,999.0,1.1,4.857,5191.0,0
409.0,999.0,-2.9,1.059,5076.2,1
12.0,999.0,-0.1,4.021,5195.8,0
895.0,999.0,-0.1,4.076,5195.8,0
122.0,999.0,-0.1,4.12,5195.8,0
563.0,999.0,-3.4,0.803,5017.5,1
219.0,999.0,1.1,4.857,5191.0,0
36.0,999.0,-2.9,0.825,5076.2,0
181.0,999.0,-2.9,1.029,5076.2,0
29.0,999.0,1.4,4.962,5228.1,0
53.0,999.0,-0.1,4.12,5195.8,0
195.0,999.0,1.1,4.857,5191.0,0
314.0,999.0,-1.8,1.291,5099.1,0
29.0,999.0,-1.8,1.244,5099.1,0
442.0,999.0,1.4,4.966,5228.1,0
364.0,999.0,-1.8,1.281,5099.1,0
71.0,999.0,1.1,4.86,5191.0,0
431.0,999.0,-1.8,1.291,5099.1,0
156.0,999.0,1.4,4.958,5228.1,0
389.0,999.0,-1.8,1.415,5099.1,0
275.0,999.0,-1.7,0.767,4991.6,1
122.0,999.0,1.4,4.962,5228.1,0
243.0,999.0,1.1,4.859,5191.0,0
88.0,999.0,1.4,4.865,5228.1,0
239.0,15.0,-2.9,0.881,5076.2,0
230.0,999.0,1.1,4.859,5191.0,0
665.0,999.0,1.4,4.961,5228.1,0
1392.0,999.0,1.1,4.856,5191.0,1
29.0,999.0,-0.1,4.021,5195.8,0
14.0,999.0,-1.8,1.291,5099.1,0
70.0,999.0,-3.4,0.719,5017.5,0
141.0,999.0,1.4,4.966,5228.1,0
403.0,999.0,1.4,4.961,5228.1,0
83.0,999.0,1.4,4.963,5228.1,0
326.0,999.0,1.4,4.968,5228.1,0
6.0,999.0,-1.8,1.405,5099.1,0
652.0,999.0,1.1,4.864,5191.0,0
184.0,999.0,-1.8,1.281,5099.1,0
317.0,999.0,-1.8,1.259,5099.1,1
150.0,3.0,-1.8,0.635,5008.7,0
438.0,999.0,1.1,4.86,5191.0,0
94.0,6.0,-3.0,0.709,5023.5,0
122.0,999.0,1.4,4.957,5228.1,0
78.0,999.0,1.4,4.968,5228.1,0
98.0,999.0,1.4,4.959,5228.1,0
142.0,999.0,1.4,4.97,5228.1,0
619.0,999.0,1.4,4.962,5228.1,0
183.0,999.0,1.4,4.964,5228.1,0
290.0,999.0,-1.8,1.327,5099.1,0
335.0,999.0,-1.8,0.65,5008.7,1
9.0,999.0,1.4,4.959,5228.1,0
379.0,999.0,1.4,4.957,5228.1,0
229.0,999.0,1.1,4.86,5191.0,0
226.0,999.0,1.1,4.856,5191.0,0
166.0,999.0,1.4,4.963,5228.1,0
118.0,999.0,1.4,4.96,5228.1,0
128.0,999.0,-1.8,1.264,5099.1,0
659.0,999.0,-1.8,1.344,5099.1,0
52.0,999.0,-0.1,4.191,5195.8,0
246.0,999.0,1.1,4.855,5191.0,0
274.0,999.0,-0.1,4.076,5195.8,0
72.0,999.0,1.4,4.965,5228.1,0
943.0,999.0,-0.1,4.191,5195.8,1
113.0,999.0,1.4,4.967,5228.1,0
254.0,999.0,1.1,4.857,5191.0,0
29.0,999.0,-1.8,1.281,5099.1,0
43.0,999.0,-0.1,4.12,5195.8,0
109.0,999.0,-1.8,1.244,5099.1,0
550.0,999.0,-2.9,0.883,5076.2,1
170.0,999.0,-1.8,1.25,5099.1,0
379.0,999.0,1.1,4.857,5191.0,0
122.0,999.0,1.1,4.856,5191.0,0
277.0,999.0,1.4,4.967,5228.1,0
134.0,999.0,1.1,4.857,5191.0,0
94.0,999.0,-0.1,4.12,5195.8,0
73.0,999.0,1.1,4.86,5191.0,0
99.0,999.0,1.4,4.962,5228.1,0
158.0,999.0,1.4,4.968,5228.1,0
418.0,5.0,-0.1,4.12,5195.8,1
315.0,999.0,-1.1,0.879,4963.6,1
391.0,999.0,-0.1,4.12,5195.8,0
89.0,999.0,1.4,4.967,5228.1,0
174.0,999.0,1.1,4.856,5191.0,0
145.0,999.0,1.1,4.856,5191.0,0
328.0,999.0,1.1,4.858,5191.0,0
191.0,999.0,1.4,4.966,5228.1,0
123.0,999.0,1.1,4.857,5191.0,0
86.0,999.0,1.1,4.858,5191.0,0
8.0,999.0,1.4,4.959,5228.1,0
481.0,999.0,-1.7,0.899,4991.6,1
435.0,999.0,1.4,4.959,5228.1,0
197.0,999.0,1.4,4.966,5228.1,0
61.0,999.0,-0.1,4.191,5195.8,0
209.0,999.0,1.4,4.965,5228.1,0
112.0,999.0,1.4,4.962,5228.1,0
192.0,999.0,-2.9,1.26,5076.2,0
138.0,999.0,1.4,4.947,5228.1,0
87.0,999.0,1.4,4.96,5228.1,0
263.0,999.0,1.1,4.857,5191.0,0
252.0,999.0,1.4,4.963,5228.1,0
241.0,999.0,-1.8,1.405,5099.1,0
745.0,999.0,1.1,4.864,5191.0,1
323.0,999.0,-1.8,1.313,5099.1,0
7.0,999.0,-1.8,1.405,5099.1,0
48.0,999.0,-0.1,4.076,5195.8,0
499.0,999.0,-1.8,1.344,5099.1,1
364.0,999.0,1.1,4.857,5191.0,0
62.0,999.0,-1.8,1.281,5099.1,0
158.0,999.0,-1.8,1.51,5099.1,1
55.0,999.0,1.4,4.959,5228.1,0
365.0,999.0,-0.1,4.076,5195.8,0
248.0,999.0,1.4,4.967,5228.1,0
142.0,999.0,1.4,4.964,5228.1,0
491.0,999.0,-2.9,1.26,5076.2,1
12.0,999.0,1.4,4.962,5228.1,0
424.0,999.0,1.1,4.857,5191.0,0
305.0,999.0,1.1,4.857,5191.0,0
78.0,999.0,-2.9,0.881,5076.2,0
426.0,6.0,-1.7,0.899,4991.6,1
89.0,999.0,1.1,4.858,5191.0,0
220.0,999.0,1.1,4.857,5191.0,0
69.0,999.0,1.4,4.866,5228.1,0
551.0,999.0,-3.4,0.72,5017.5,0
443.0,999.0,-1.7,0.886,4991.6,1
965.0,999.0,1.4,4.962,5228.1,1
100.0,999.0,1.4,4.963,5228.1,0
1139.0,999.0,1.4,4.962,5228.1,1
489.0,4.0,-2.9,0.884,5076.2,0
651.0,999.0,-2.9,0.883,5076.2,1
10.0,999.0,1.1,4.856,5191.0,0
102.0,999.0,1.4,4.961,5228.1,0
306.0,3.0,-3.4,0.733,5017.5,1
190.0,999.0,1.4,4.968,5228.1,0
142.0,999.0,-0.1,4.021,5195.8,0
839.0,999.0,1.4,4.963,5228.1,0
583.0,999.0,-1.8,1.466,5099.1,0
388.0,6.0,-1.7,0.896,4991.6,1
391.0,999.0,-2.9,0.869,5076.2,1
149.0,999.0,1.4,4.961,5228.1,0
236.0,999.0,1.1,4.857,5191.0,0
286.0,999.0,-0.1,4.12,5195.8,0
18.0,999.0,-1.8,1.25,5099.1,0
156.0,999.0,1.4,4.963,5228.1,0
22.0,999.0,1.4,4.961,5228.1,0
126.0,999.0,-1.8,1.354,5099.1,0
307.0,999.0,1.4,4.968,5228.1,0
160.0,999.0,-2.9,1.099,5076.2,0
174.0,999.0,-1.8,0.672,5008.7,0
84.0,999.0,1.4,4.962,5228.1,0
259.0,999.0,-1.8,1.259,5099.1,0
247.0,999.0,1.1,4.857,5191.0,0
212.0,999.0,-1.8,1.313,5099.1,0
213.0,999.0,1.1,4.857,5191.0,0
166.0,999.0,1.1,4.858,5191.0,0
150.0,999.0,1.4,4.966,5228.1,0
132.0,999.0,-0.1,4.153,5195.8,0
313.0,999.0,1.1,4.86,5191.0,0
335.0,999.0,-1.8,1.334,5099.1,0
179.0,999.0,-3.4,0.72,5017.5,1
494.0,999.0,1.4,4.96,5228.1,1
91.0,999.0,-1.8,1.405,5099.1,0
432.0,999.0,1.4,4.967,5228.1,0
188.0,999.0,1.1,4.856,5191.0,0
128.0,999.0,-1.8,1.327,5099.1,0
260.0,999.0,1.4,4.963,5228.1,0
306.0,999.0,1.4,4.961,5228.1,0
452.0,999.0,1.4,4.963,5228.1,0
142.0,999.0,-1.1,0.942,4963.6,0
52.0,999.0,1.4,4.957,5228.1,0
61.0,999.0,-1.8,1.25,5099.1,0
104.0,999.0,1.1,4.859,5191.0,0
168.0,999.0,1.4,4.963,5228.1,0
95.0,999.0,1.4,4.965,5228.1,0
218.0,999.0,-2.9,1.26,5076.2,0
24.0,999.0,1.4,4.962,5228.1,0
486.0,999.0,-0.1,4.076,5195.8,0
504.0,999.0,1.1,4.857,5191.0,0
188.0,999.0,1.1,4.857,5191.0,0
23.0,999.0,-1.8,1.281,5099.1,0
150.0,999.0,1.4,4.865,5228.1,0
87.0,999.0,1.4,4.964,5228.1,0
368.0,999.0,-1.8,1.405,5099.1,0
319.0,999.0,-0.1,4.153,5195.8,0
297.0,999.0,-1.8,1.244,5099.1,0
179.0,999.0,1.1,4.857,5191.0,0
109.0,999.0,1.1,4.86,5191.0,0
460.0,999.0,1.4,4.962,5228.1,1
193.0,999.0,1.1,4.857,5191.0,0
269.0,999.0,1.1,4.857,5191.0,0
170.0,999.0,1.4,4.963,5228.1,0
406.0,999.0,1.1,4.856,5191.0,0
120.0,999.0,1.1,4.857,5191.0,0
144.0,999.0,-1.8,1.313,5099.1,0
73.0,999.0,1.4,4.967,5228.1,0
110.0,999.0,1.4,4.963,5228.1,0
55.0,999.0,1.4,4.968,5228.1,0
76.0,999.0,1.4,4.963,5228.1,0
143.0,999.0,1.4,4.964,5228.1,0
87.0,999.0,-2.9,0.881,5076.2,1
178.0,999.0,1.4,4.864,5228.1,0
74.0,999.0,-2.9,1.262,5076.2,0
115.0,999.0,1.4,4.959,5228.1,0
151.0,999.0,1.4,4.963,5228.1,0
106.0,999.0,1.1,4.857,5191.0,0
175.0,999.0,1.4,4.962,5228.1,0
54.0,999.0,1.1,4.856,5191.0,0
179.0,4.0,-2.9,0.884,5076.2,1
104.0,999.0,-1.8,1.405,5099.1,0
156.0,999.0,1.4,4.966,5228.1,0
103.0,999.0,1.1,4.855,5191.0,0
284.0,999.0,-2.9,0.873,5076.2,0
76.0,999.0,1.4,4.968,5228.1,0
131.0,999.0,1.4,4.968,5228.1,0
132.0,999.0,1.1,4.859,5191.0,0
197.0,999.0,-1.8,1.299,5099.1,0
551.0,999.0,1.4,4.962,5228.1,1
10.0,999.0,-1.8,1.281,5099.1,0
133.0,999.0,-0.1,4.076,5195.8,0
59.0,999.0,-1.8,1.244,5099.1,0
171.0,999.0,1.1,4.858,5191.0,0
197.0,999.0,-1.8,1.299,5099.1,0
278.0,999.0,-0.1,4.076,5195.8,0
484.0,999.0,1.1,4.856,5191.0,0
126.0,999.0,-1.8,1.663,5099.1,1
289.0,999.0,-1.8,1.334,5099.1,0
85.0,999.0,1.4,4.961,5228.1,0
254.0,999.0,1.1,4.859,5191.0,0
35.0,999.0,1.4,4.961,5228.1,0
121.0,999.0,-1.8,1.327,5099.1,0
96.0,999.0,1.4,4.961,5228.1,0
75.0,999.0,-0.1,4.191,5195.8,0
177.0,999.0,1.4,4.864,5228.1,0
1855.0,999.0,-0.1,4.076,5195.8,0
193.0,999.0,-1.8,1.334,5099.1,0
76.0,999.0,1.4,4.962,5228.1,0
293.0,3.0,-3.4,0.803,5017.5,1
214.0,999.0,1.4,4.962,5228.1,0
75.0,999.0,-1.8,1.299,5099.1,0
155.0,999.0,1.4,4.968,5228.1,0
159.0,999.0,1.4,4.965,5228.1,0
165.0,999.0,1.4,4.963,5228.1,0
163.0,999.0,-0.1,4.191,5195.8,0
158.0,999.0,-1.8,1.266,5099.1,0
394.0,999.0,1.1,4.858,5191.0,0
293.0,999.0,1.4,4.961,5228.1,0
92.0,999.0,1.4,4.963,5228.1,0
500.0,999.0,-1.8,1.344,5099.1,1
74.0,999.0,1.4,4.962,5228.1,0
307.0,999.0,-1.8,1.344,5099.1,0
667.0,999.0,-1.8,1.25,5099.1,1
130.0,999.0,1.1,4.857,5191.0,0
47.0,999.0,1.4,4.959,5228.1,0
742.0,999.0,-1.8,1.354,5099.1,1
483.0,999.0,-1.8,1.291,5099.1,0
106.0,999.0,1.4,4.964,5228.1,0
120.0,999.0,1.1,4.858,5191.0,0
22.0,999.0,-1.8,1.291,5099.1,0
214.0,999.0,-1.8,1.291,5099.1,0
248.0,999.0,-0.1,4.12,5195.8,0
77.0,999.0,1.4,4.962,5228.1,0
167.0,999.0,1.4,4.864,5228.1,0
122.0,999.0,-1.8,1.281,5099.1,0
6.0,999.0,-1.8,1.244,5099.1,0
308.0,999.0,1.1,4.855,5191.0,0
133.0,999.0,1.1,4.856,5191.0,0
151.0,999.0,1.4,4.963,5228.1,0
47.0,999.0,1.4,4.866,5228.1,0
36.0,999.0,-1.8,1.266,5099.1,0
706.0,999.0,-1.8,1.365,5099.1,0
147.0,999.0,-1.8,1.281,5099.1,0
112.0,999.0,-1.8,1.266,5099.1,0
233.0,14.0,-1.7,0.903,4991.6,1
742.0,999.0,1.4,4.963,5228.1,0
195.0,999.0,1.1,4.857,5191.0,0
639.0,999.0,-1.8,1.244,5099.1,1
761.0,999.0,-0.1,4.076,5195.8,0
1077.0,999.0,-1.8,1.313,5099.1,1
299.0,999.0,1.1,4.856,5191.0,0
90.0,999.0,-0.1,4.076,5195.8,0
106.0,999.0,1.1,4.855,5191.0,0
207.0,999.0,-1.8,1.327,5099.1,0
262.0,999.0,-1.8,1.25,5099.1,0
122.0,999.0,1.4,4.968,5228.1,0
42.0,999.0,-1.8,1.405,5099.1,0
180.0,999.0,1.1,4.857,5191.0,0
118.0,999.0,-1.8,1.344,5099.1,0
170.0,999.0,1.4,4.961,5228.1,0
520.0,999.0,1.4,4.957,5228.1,0
119.0,999.0,-1.8,1.423,5099.1,0
41.0,999.0,1.4,4.864,5228.1,0
188.0,999.0,1.1,4.856,5191.0,0
153.0,999.0,1.4,4.964,5228.1,0
258.0,999.0,1.4,4.968,5228.1,0
131.0,999.0,-0.1,4.153,5195.8,0
59.0,999.0,-0.1,4.12,5195.8,0
88.0,999.0,1.1,4.857,5191.0,0
856.0,999.0,1.4,4.959,5228.1,1
258.0,999.0,-1.8,1.327,5099.1,0
127.0,999.0,-1.1,0.88,4963.6,0
489.0,999.0,-0.1,4.076,5195.8,0
301.0,9.0,-3.4,0.714,5017.5,1
882.0,999.0,-1.8,1.405,5099.1,1
75.0,999.0,1.4,4.965,5228.1,0
92.0,999.0,1.4,4.865,5228.1,0
132.0,999.0,-1.8,1.405,5099.1,0
142.0,999.0,1.4,4.963,5228.1,0
55.0,999.0,-1.8,1.25,5099.1,0
313.0,999.0,1.1,4.857,5191.0,0
170.0,999.0,-1.8,1.354,5099.1,0
134.0,999.0,-1.8,1.244,5099.1,0
29.0,999.0,-1.8,1.344,5099.1,0
291.0,999.0,1.4,4.964,5228.1,0
178.0,999.0,1.4,4.865,5228.1,0
142.0,999.0,1.1,4.857,5191.0,0
166.0,999.0,1.4,4.965,5228.1,0
420.0,999.0,-1.8,0.643,5008.7,1
281.0,999.0,1.4,4.962,5228.1,0
67.0,999.0,-1.8,1.365,5099.1,0
671.0,999.0,1.4,4.963,5228.1,0
216.0,999.0,1.4,4.962,5228.1,0
70.0,999.0,1.4,4.965,5228.1,0
253.0,999.0,-1.8,1.25,5099.1,0
163.0,999.0,1.4,4.865,5228.1,0
101.0,3.0,-2.9,1.262,5076.2,0
1563.0,6.0,-1.7,0.702,4991.6,0
789.0,999.0,1.1,4.855,5191.0,0
209.0,999.0,-0.1,4.12,5195.8,0
151.0,999.0,1.1,4.858,5191.0,0
401.0,999.0,1.4,4.962,5228.1,0
36.0,999.0,1.4,4.965,5228.1,0
320.0,999.0,-2.9,0.883,5076.2,0
134.0,999.0,1.4,4.961,5228.1,0
143.0,999.0,1.1,4.857,5191.0,0
184.0,999.0,-1.8,1.531,5099.1,0
131.0,999.0,-1.8,1.344,5099.1,0
66.0,999.0,-1.8,1.299,5099.1,0
271.0,999.0,1.4,4.961,5228.1,0
388.0,999.0,-1.8,1.344,5099.1,0
33.0,999.0,-2.9,0.859,5076.2,0
579.0,999.0,1.4,4.864,5228.1,0
275.0,999.0,1.4,4.959,5228.1,0
78.0,999.0,1.4,4.961,5228.1,0
166.0,999.0,-2.9,1.099,5076.2,0
252.0,999.0,-1.8,1.244,5099.1,0
85.0,999.0,-0.1,4.191,5195.8,0
27.0,999.0,1.4,4.967,5228.1,0
849.0,999.0,1.1,4.859,5191.0,0
70.0,999.0,-1.8,1.327,5099.1,0
115.0,999.0,-2.9,0.881,5076.2,0
599.0,999.0,-1.8,1.466,5099.1,0
191.0,12.0,-1.8,1.244,5099.1,0
167.0,999.0,1.4,4.966,5228.1,0
73.0,999.0,1.4,4.963,5228.1,0
712.0,999.0,-1.8,1.405,5099.1,1
181.0,999.0,-1.8,1.405,5099.1,0
262.0,999.0,1.1,4.857,5191.0,0
55.0,999.0,1.4,4.959,5228.1,0
690.0,999.0,1.4,4.963,5228.1,1
566.0,999.0,-1.8,1.266,5099.1,0
63.0,999.0,-1.8,1.327,5099.1,0
225.0,999.0,-0.1,4.021,5195.8,0
282.0,999.0,1.4,4.957,5228.1,0
64.0,999.0,-2.9,1.26,5076.2,0
180.0,999.0,1.1,4.859,5191.0,0
344.0,999.0,-1.7,0.729,4991.6,0
55.0,999.0,1.1,4.857,5191.0,0
354.0,999.0,1.4,4.959,5228.1,0
373.0,999.0,-1.8,1.327,5099.1,0
121.0,999.0,-1.8,1.365,5099.1,0
405.0,999.0,1.4,4.96,5228.1,0
126.0,999.0,1.4,4.962,5228.1,0
645.0,999.0,-1.8,1.405,5099.1,0
125.0,999.0,-1.8,1.435,5099.1,0
408.0,999.0,-1.8,1.313,5099.1,0
806.0,6.0,-1.7,0.861,4991.6,1
68.0,999.0,1.1,4.858,5191.0,0
122.0,999.0,1.4,4.957,5228.1,0
183.0,999.0,-0.1,4.021,5195.8,0
162.0,999.0,1.1,4.857,5191.0,0
304.0,999.0,-1.8,1.299,5099.1,0
183.0,999.0,1.4,4.962,5228.1,0
519.0,999.0,1.4,4.968,5228.1,0
112.0,999.0,1.1,4.857,5191.0,0
404.0,999.0,1.4,4.962,5228.1,0
234.0,999.0,-3.4,0.781,5017.5,1
206.0,999.0,1.4,4.96,5228.1,0
527.0,999.0,1.4,4.967,5228.1,0
332.0,999.0,1.1,4.858,5191.0,0
24.0,999.0,-0.1,4.223,5195.8,0
90.0,999.0,-0.1,4.153,5195.8,0
182.0,3.0,-3.4,0.716,5017.5,1
423.0,999.0,-1.8,1.365,5099.1,1
240.0,999.0,-2.9,0.834,5076.2,0
35.0,999.0,1.1,4.857,5191.0,0
134.0,999.0,-0.1,4.12,5195.8,0
272.0,999.0,-1.7,0.904,4991.6,1
84.0,999.0,-1.1,0.879,4963.6,0
154.0,999.0,1.4,4.968,5228.1,0
100.0,999.0,1.4,4.961,5228.1,0
339.0,999.0,1.4,4.96,5228.1,0
208.0,999.0,1.1,4.858,5191.0,0
483.0,6.0,-1.1,1.031,4963.6,1
493.0,999.0,1.4,4.865,5228.1,0
154.0,999.0,1.1,4.86,5191.0,0
509.0,999.0,1.4,4.958,5228.1,0
207.0,999.0,1.4,4.963,5228.1,0
83.0,999.0,-0.1,4.474,5195.8,0
12.0,999.0,-1.8,1.244,5099.1,0
26.0,999.0,1.4,4.959,5228.1,0
17.0,999.0,-1.8,1.25,5099.1,0
363.0,999.0,-1.8,1.281,5099.1,0
162.0,999.0,1.1,4.857,5191.0,0
575.0,999.0,1.4,4.96,5228.1,0
91.0,999.0,1.4,4.963,5228.1,0
411.0,999.0,1.1,4.857,5191.0,0
198.0,999.0,-1.8,1.313,5099.1,0
71.0,999.0,-0.1,4.076,5195.8,0
127.0,999.0,1.4,4.963,5228.1,0
94.0,999.0,-1.8,1.405,5099.1,1
88.0,999.0,-1.8,1.344,5099.1,0
72.0,999.0,1.4,4.964,5228.1,0
149.0,999.0,1.4,4.961,5228.1,0
324.0,999.0,-1.8,1.41,5099.1,0
